Precipitation,Global_Radiation,Avarage_Atmospheric_Pressure,Avarage_Temperature,Avarage_Dew_Temperature,Avarage_Relative_Humidity,Avarage_Wind_Speed
0.2,335.4,937.05,10.4,10.4,100.0,5.3
0.0,624.5,937.55,11.05,10.35,95.0,5.6
0.0,882.8,938.05,11.2,11.15,97.0,6.0
0.0,870.4,938.2,11.95,11.05,94.0,5.65
0.0,1486.2,937.8,12.45,11.95,94.0,5.949999999999999
0.0,1679.2,937.15,13.35,11.05,87.0,6.25
0.2,1376.4,936.5999999999999,12.4,11.45,92.0,6.1000000000000005
0.2,2202.1,936.0,13.95,11.4,85.5,6.4
0.0,1351.1,935.55,13.35,10.9,85.5,7.45
0.0,729.4,935.5999999999999,12.55,11.35,93.5,6.95
0.0,134.0,935.8499999999999,12.1,11.7,97.0,5.75
0.0,59.3,935.5999999999999,10.149999999999999,9.95,97.5,2.6
0.0,743.4,935.95,11.7,9.75,87.5,3.7
0.0,1532.5,936.2,13.15,9.05,78.0,4.8
0.0,2131.0,936.4,14.65,8.399999999999999,67.0,4.6
0.0,2631.4,936.0,16.0,7.8,58.5,4.7
0.0,2989.8,935.35,17.2,7.3500000000000005,52.5,5.05
0.0,3021.3,934.65,17.2,8.85,57.0,5.65
0.0,2859.9,933.7,17.75,9.649999999999999,59.5,4.85
0.0,2399.6,932.75,17.6,10.1,62.0,5.6
0.0,1711.2,932.35,16.3,11.0,71.0,6.199999999999999
0.0,896.8,932.1500000000001,14.8,11.25,79.5,6.1
0.0,138.0,932.1500000000001,13.85,11.2,84.5,6.1
